year,month,day,hour,minute,seconds,jday,wv_height,wnd_dir,wnd_spd,wnd_gspd,atm_prs,air_temp
2.0100000e+03,1.0000000e+01,1.0000000e+00,2.2000000e+01,4.3000000e+01,0.0000000e+00,2.7494653e+02,2.7600000e+00,2.4600000e+02,7.5000000e+00,9.0000000e+00,1.0155000e+03,1.4800000e+01
2.0100000e+03,1.0000000e+01,1.0000000e+00,2.3000000e+01,4.3000000e+01,0.0000000e+00,2.7498819e+02,2.6400000e+00,2.4900000e+02,7.9000000e+00,9.6000000e+00,1.0162000e+03,1.4800000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,0.0000000e+00,4.3000000e+01,0.0000000e+00,2.7502986e+02,2.5600000e+00,2.5800000e+02,7.9000000e+00,9.9000000e+00,1.0170000e+03,1.4600000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.0000000e+00,4.3000000e+01,0.0000000e+00,2.7507153e+02,2.4800000e+00,2.5200000e+02,7.9000000e+00,9.3000000e+00,1.0174000e+03,1.4300000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,2.0000000e+00,4.3000000e+01,0.0000000e+00,2.7511319e+02,2.7000000e+00,2.5300000e+02,7.5000000e+00,9.0000000e+00,1.0182000e+03,1.4300000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,3.0000000e+00,4.3000000e+01,0.0000000e+00,2.7515486e+02,2.8100000e+00,2.7700000e+02,5.9000000e+00,8.1000000e+00,1.0190000e+03,1.3600000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,4.0000000e+00,4.3000000e+01,0.0000000e+00,2.7519653e+02,3.3400000e+00,2.4700000e+02,5.3000000e+00,7.2000000e+00,1.0199000e+03,1.4100000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,5.0000000e+00,4.3000000e+01,0.0000000e+00,2.7523819e+02,3.7800000e+00,2.4400000e+02,6.1000000e+00,7.7000000e+00,1.0204000e+03,1.4100000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,6.0000000e+00,4.3000000e+01,0.0000000e+00,2.7527986e+02,4.1600000e+00,2.4400000e+02,6.0000000e+00,8.8000000e+00,1.0209000e+03,1.3900000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,7.0000000e+00,4.3000000e+01,0.0000000e+00,2.7532153e+02,4.3600000e+00,2.4100000e+02,6.2000000e+00,9.7000000e+00,1.0213000e+03,1.4100000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,8.0000000e+00,4.3000000e+01,0.0000000e+00,2.7536319e+02,4.9700000e+00,2.4700000e+02,5.5000000e+00,7.5000000e+00,1.0216000e+03,1.4000000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,9.0000000e+00,4.3000000e+01,0.0000000e+00,2.7540486e+02,5.0100000e+00,2.4100000e+02,5.2000000e+00,7.2000000e+00,1.0221000e+03,1.4000000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.0000000e+01,4.3000000e+01,0.0000000e+00,2.7544653e+02,6.2100000e+00,2.4300000e+02,4.8000000e+00,6.8000000e+00,1.0220000e+03,1.3800000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.1000000e+01,4.3000000e+01,0.0000000e+00,2.7548819e+02,5.6200000e+00,2.3200000e+02,4.3000000e+00,6.2000000e+00,1.0224000e+03,1.3800000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.2000000e+01,4.3000000e+01,0.0000000e+00,2.7552986e+02,6.2100000e+00,2.4800000e+02,4.1000000e+00,5.9000000e+00,1.0225000e+03,1.3700000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.3000000e+01,4.3000000e+01,0.0000000e+00,2.7557153e+02,5.2700000e+00,2.5000000e+02,3.9000000e+00,6.2000000e+00,1.0224000e+03,1.3600000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.4000000e+01,4.3000000e+01,0.0000000e+00,2.7561319e+02,5.6100000e+00,2.3500000e+02,3.5000000e+00,5.8000000e+00,1.0225000e+03,1.3600000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.5000000e+01,4.3000000e+01,0.0000000e+00,2.7565486e+02,5.1400000e+00,2.2000000e+02,3.9000000e+00,5.4000000e+00,1.0225000e+03,1.3900000e+01
2.0100000e+03,1.0000000e+01,2.0000000e+00,1.6000000e+01,4.3000000e+01,0.0000000e+00,2.7569653e+02,5.0400000e+00,2.0700000e+02,3.8000000e+00,5.1000000e+00,1.0225000e+03,1.4000000e+01
