date,inclination,azimuth
280.63,36.91,56.92
280.63,38.93,77.47
280.75,39.71,69.07
280.75,40.25,71.03
280.76,36.23,69.22
280.88,15.87,-93.79
280.88,17.83,-89.60
280.88,23.98,-85.21
281.00,20.72,121.67
281.00,21.24,77.61
281.01,23.52,111.61
281.13,22.00,108.02
281.13,26.33,107.95
281.13,20.94,112.60
281.25,18.28,122.75
281.25,20.55,130.08
281.26,32.01,133.90
281.38,32.43,-119.63
281.38,25.81,-125.92
281.38,27.37,-121.08
281.50,4.04,89.72
281.50,3.57,143.64
281.51,7.61,120.92
281.63,5.05,173.53
281.63,7.44,176.16
281.63,6.34,135.68
281.75,28.43,100.27
281.75,35.42,59.72
281.76,22.09,95.62
281.88,23.72,-86.09
281.88,19.65,-90.49
281.88,21.31,-91.37
282.00,13.41,107.54
282.00,15.58,121.70
282.01,17.08,116.80
282.13,24.50,93.16
282.13,19.66,96.94
282.13,10.79,101.90
282.25,10.57,116.74
282.25,7.94,126.46
282.26,10.55,113.30
282.38,6.29,-121.45
282.38,5.06,-132.75
282.38,5.78,-120.84
282.50,18.73,-100.53
282.50,12.59,-117.15
282.51,5.84,-124.19
282.63,42.28,80.99
282.63,41.52,75.06
282.63,44.08,79.48
282.75,28.07,82.72
282.75,26.59,100.71
282.76,39.97,81.20
282.88,4.48,91.29
282.88,7.27,-141.97
282.88,3.70,112.28
283.00,0.98,-159.17
283.00,4.25,22.59
283.01,2.77,85.82
283.13,32.52,107.47
283.13,37.62,98.01
283.13,35.88,97.40
283.25,37.64,64.20
283.25,37.50,74.37
283.26,38.85,74.93
283.38,14.96,114.54
283.38,42.88,-87.04
283.38,45.18,97.88
283.50,39.18,-115.67
283.50,19.21,-146.01
283.51,40.58,-100.76
283.63,13.44,121.16
283.63,16.64,131.29
283.63,14.81,121.45
283.75,35.59,88.24
283.75,25.58,69.40
283.76,38.12,71.27
283.88,23.46,103.13
283.88,35.85,94.03
283.88,22.46,101.08
284.00,5.95,-148.12
284.00,10.82,-116.10
284.01,14.07,-117.97
284.13,8.39,-175.50
284.13,7.29,158.53
284.13,2.17,-135.03
284.25,34.64,39.81
284.25,7.27,-16.27
284.26,10.59,-92.93
284.38,17.97,-152.58
284.38,9.55,-141.86
284.38,9.45,-136.23
284.50,31.09,42.89
284.50,26.73,-124.10
284.51,23.22,-121.41
284.63,35.22,49.60
284.63,6.33,-132.66
284.63,2.02,-109.87
284.75,5.95,81.78
284.75,15.87,100.07
284.76,17.45,109.96
284.88,34.79,100.01
284.88,33.75,111.26
284.88,36.39,104.65
285.00,0.90,146.44
285.00,9.37,-148.62
285.01,8.49,-143.67
285.13,27.87,105.69
285.13,25.74,110.64
285.13,32.11,98.74
285.25,30.61,47.38
285.25,4.91,39.38
285.26,15.35,60.04
285.38,8.19,-148.83
285.38,21.14,-125.94
285.38,22.19,-133.15
285.50,0.69,-109.20
285.50,1.91,-21.59
285.51,3.78,-79.28
285.63,16.91,118.64
285.63,16.56,118.22
285.63,12.82,108.83
285.75,45.40,94.32
285.75,49.97,106.41
285.76,44.72,100.29
285.88,42.86,89.17
285.88,42.78,89.64
285.88,41.53,93.37
286.00,23.13,113.18
286.13,13.44,158.53
286.25,34.85,84.93
286.38,15.55,12.74
286.50,5.32,-10.44
286.63,6.41,-140.87
286.75,25.25,96.76
286.88,34.21,91.69
287.00,10.91,96.75
287.13,10.26,121.14
287.25,13.97,89.85
287.38,5.05,40.67
287.50,7.67,-124.56
287.63,6.70,167.78
287.75,24.25,120.94
287.88,4.86,-46.18
288.00,12.61,-122.10
288.13,15.90,-61.73
288.25,11.79,112.38
288.38,4.36,84.34
288.50,16.16,-138.41
288.63,8.22,142.58
288.75,26.75,118.71
288.88,37.87,107.21
289.00,30.68,101.21
289.13,1.68,-137.40
289.25,38.32,96.18
289.38,8.26,11.29
289.50,4.72,-61.75
289.63,1.07,157.75
289.75,40.10,78.35
289.88,37.84,97.62
290.00,18.01,111.40
290.13,6.85,85.41
290.25,20.18,86.78
290.38,27.32,69.05
290.50,27.22,-64.05
290.63,5.49,158.59
290.75,11.94,140.64
290.88,22.52,81.40
291.00,5.83,85.54
291.13,12.35,-11.62
291.25,2.52,111.36
291.38,22.30,104.54
291.50,14.15,106.89
291.63,4.96,121.78
