year,month,day,hour,minute,seconds,jday,wv_height,wnd_dir,wnd_spd,wnd_gspd,atm_prs,air_temp
2.0110000e+03,9.0000000e+00,2.5000000e+01,2.3000000e+01,4.3000000e+01,0.0000000e+00,2.6898819e+02,2.5500000e+00,1.5300000e+02,1.2200000e+01,1.4600000e+01,9.9850000e+02,1.4100000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,0.0000000e+00,4.3000000e+01,0.0000000e+00,2.6902986e+02,2.6200000e+00,1.4800000e+02,1.2200000e+01,1.4500000e+01,9.9660000e+02,1.3600000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,1.0000000e+00,4.3000000e+01,0.0000000e+00,2.6907153e+02,2.9900000e+00,1.4500000e+02,1.5000000e+01,1.9100000e+01,9.9420000e+02,1.3600000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,3.0000000e+00,4.3000000e+01,0.0000000e+00,2.6915486e+02,3.7400000e+00,1.4200000e+02,1.7100000e+01,2.1600000e+01,9.8950000e+02,1.3400000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,4.0000000e+00,4.3000000e+01,0.0000000e+00,2.6919653e+02,4.1200000e+00,1.4700000e+02,1.6500000e+01,2.0800000e+01,9.8730000e+02,1.3000000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,5.0000000e+00,4.3000000e+01,0.0000000e+00,2.6923819e+02,4.6300000e+00,1.3700000e+02,1.7300000e+01,2.3300000e+01,9.8440000e+02,1.2900000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,6.0000000e+00,4.3000000e+01,0.0000000e+00,2.6927986e+02,4.9000000e+00,1.5700000e+02,1.4000000e+01,1.7600000e+01,9.8260000e+02,1.3900000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,7.0000000e+00,4.3000000e+01,0.0000000e+00,2.6932153e+02,5.2200000e+00,1.8700000e+02,1.0000000e+01,1.2500000e+01,9.8150000e+02,1.4700000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,8.0000000e+00,4.3000000e+01,0.0000000e+00,2.6936319e+02,5.0700000e+00,2.0500000e+02,1.1500000e+01,1.4300000e+01,9.8100000e+02,1.4500000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,9.0000000e+00,4.3000000e+01,0.0000000e+00,2.6940486e+02,5.1600000e+00,2.0400000e+02,1.1200000e+01,1.3900000e+01,9.8060000e+02,1.4600000e+01
2.0110000e+03,9.0000000e+00,2.6000000e+01,1.0000000e+01,4.3000000e+01,0.0000000e+00,2.6944653e+02,4.5000000e+00,1.8800000e+02,1.1800000e+01,1.5500000e+01,9.7970000e+02,1.4500000e+01
