272.50 1.03 -119.67
272.65 10.53 -65.01
272.67 14.53 -45.46
273.00 17.08 55.49
273.00 8.21 58.62
273.01 13.52 98.07
273.17 20.64 97.46
273.17 20.97 105.61
273.17 11.10 119.48
273.33 14.53 38.87
273.34 10.61 -3.92
273.34 2.75 19.70
273.50 3.69 127.36
273.50 6.75 149.98
273.51 0.52 71.51
273.67 1.27 -49.32
273.67 4.49 -30.04
273.67 5.65 -38.79
273.91 22.55 -123.10
273.91 21.86 -83.74
273.92 19.67 -90.81
274.00 32.33 83.44
274.00 32.17 90.61
274.01 30.78 90.50
274.25 7.78 96.90
274.25 5.24 97.06
274.26 6.99 95.54
274.50 2.05 -136.25
274.50 3.90 -59.15
274.51 4.00 -27.80
274.75 35.73 -40.74
274.75 34.24 -51.37
274.76 28.65 -29.80
275.00 43.62 91.33
275.00 40.63 102.07
275.01 28.56 117.18
275.25 14.39 27.52
275.25 20.14 -8.20
275.26 20.08 -22.07
275.50 40.40 69.22
275.50 38.53 82.07
275.51 33.89 121.95
275.75 21.56 5.42
275.75 24.87 1.39
275.76 31.53 -8.79
276.00 7.27 97.91
276.00 5.35 125.32
276.01 3.94 137.48
276.25 7.24 102.05
276.25 11.95 113.67
276.26 9.62 149.61
276.50 9.63 54.98
276.50 13.60 74.84
276.51 7.35 71.52
276.75 22.23 -120.83
276.75 14.08 -117.61
276.76 16.65 -103.57
277.00 16.96 -49.34
277.00 23.23 -99.67
277.01 12.91 -75.41
277.77 11.24 -81.83
277.78 17.28 -126.00
277.78 19.28 -117.90
278.00 26.24 -130.88
278.00 25.79 -126.67
278.01 18.39 -117.39
278.25 27.31 9.74
278.25 27.26 17.72
278.26 25.32 25.00
278.50 17.87 -129.14
278.50 15.62 -111.71
278.51 16.52 -46.15
278.75 34.03 95.80
278.75 35.53 99.15
278.76 37.17 80.41
279.00 4.06 -32.70
279.00 4.44 -54.19
279.01 10.68 -28.58
280.00 22.07 -141.69
280.00 11.43 -114.15
280.01 9.60 -145.21
280.25 41.78 65.99
280.25 39.66 69.75
280.26 30.61 72.95
280.50 19.87 -56.47
280.50 20.16 -44.39
280.51 15.78 -26.07
280.75 36.76 74.94
280.75 31.13 84.71
280.76 36.93 74.00
281.00 9.25 -144.96
281.00 13.79 -115.38
281.01 9.74 -100.63
281.13 12.15 -65.46
281.13 6.73 -92.13
281.13 1.62 -122.63
281.25 31.40 65.92
281.26 31.81 83.78
281.38 12.10 80.64
281.38 15.68 104.46
281.38 9.71 117.72
281.50 16.95 -48.55
281.50 21.89 -87.85
281.51 21.52 -114.10
281.63 19.52 140.72
281.63 21.90 125.45
281.63 19.43 116.95
281.75 28.02 97.77
281.75 32.05 85.80
281.76 30.89 86.79
281.88 21.37 104.63
281.88 15.34 115.76
281.88 14.67 106.29
282.00 20.93 -109.42
282.00 15.01 -98.91
282.01 15.62 -111.81
282.13 17.93 -112.66
282.13 18.16 -111.79
282.13 15.76 -96.47
282.25 5.55 8.37
282.25 4.17 60.98
282.26 3.49 27.86
282.38 15.17 -98.93
282.38 17.83 -98.13
282.38 20.63 -100.88
282.50 14.17 -108.40
282.50 16.34 -121.68
282.51 15.35 -103.38
282.63 13.33 -50.45
282.63 13.40 -44.99
282.63 14.70 -46.62
282.75 27.83 92.52
282.75 34.28 95.14
282.76 31.56 95.24
282.88 38.17 112.04
282.88 41.69 101.23
282.88 43.32 85.05
283.00 15.71 -129.24
283.00 11.39 -130.91
283.01 29.78 -119.65
283.13 9.84 -33.05
283.13 6.91 -7.68
283.13 14.55 42.20
283.25 4.15 174.07
283.25 5.12 117.60
283.26 2.23 -9.18
283.38 38.90 91.18
283.38 33.08 79.62
283.38 24.63 80.51
283.50 20.56 -113.73
283.50 9.63 -102.81
